list_name	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	cell	swept	kb	relation
melanoma	1075	99	57	13	2.48	0.00123435587478625	RA x Soskic_CD4	locus_kb	100	unrelated control
HCC	1075	80	57	18	4.24	2.30808385071925e-08	RA x Soskic_CD4	locus_kb	100	unrelated control
colorectal	1075	255	57	30	2.22	1.10462445027145e-06	RA x Soskic_CD4	locus_kb	100	unrelated control
prostate	1075	46	57	2	0.82	0.714845555352211	RA x Soskic_CD4	locus_kb	100	unrelated control
RA	1075	107	57	21	3.7	1.49490590469459e-08	RA x Soskic_CD4	locus_kb	100	own outcome
melanoma	641	31	41	6	3.03	0.0104566659976225	RA x Soskic_CD4	known_kb	250	unrelated control
HCC	641	16	41	5	4.89	0.00216778084409607	RA x Soskic_CD4	known_kb	250	unrelated control
colorectal	641	66	41	14	3.32	1.52650864632063e-05	RA x Soskic_CD4	known_kb	250	unrelated control
prostate	641	11	41	2	2.84	0.152287377781992	RA x Soskic_CD4	known_kb	250	unrelated control
RA	641	35	41	14	6.25	1.73718891937902e-09	RA x Soskic_CD4	known_kb	250	own outcome
melanoma	912	88	50	10	2.07	0.0166458879231362	RA x Soskic_CD4	locus_kb	250	unrelated control
HCC	912	61	50	13	3.89	7.77295586592937e-06	RA x Soskic_CD4	locus_kb	250	unrelated control
colorectal	912	213	50	25	2.14	2.1063748389315e-05	RA x Soskic_CD4	locus_kb	250	unrelated control
prostate	912	39	50	2	0.94	0.644300375345047	RA x Soskic_CD4	locus_kb	250	unrelated control
RA	912	88	50	19	3.94	2.08875907563764e-08	RA x Soskic_CD4	locus_kb	250	own outcome
melanoma	641	46	41	7	2.38	0.0212520490839417	RA x Soskic_CD4	known_kb	500	unrelated control
HCC	641	21	41	6	4.47	0.00125272810462137	RA x Soskic_CD4	known_kb	500	unrelated control
colorectal	641	101	41	15	2.32	0.000612753780905474	RA x Soskic_CD4	known_kb	500	unrelated control
prostate	641	19	41	2	1.65	0.346225018947628	RA x Soskic_CD4	known_kb	500	unrelated control
RA	641	46	41	14	4.76	1.12581084269688e-07	RA x Soskic_CD4	known_kb	500	own outcome
melanoma	781	73	43	8	1.99	0.0389551637510545	RA x Soskic_CD4	locus_kb	500	unrelated control
HCC	781	49	43	9	3.34	0.00078939089945583	RA x Soskic_CD4	locus_kb	500	unrelated control
colorectal	781	179	43	20	2.03	0.000382609588390118	RA x Soskic_CD4	locus_kb	500	unrelated control
prostate	781	34	43	2	1.07	0.570739173227008	RA x Soskic_CD4	locus_kb	500	unrelated control
RA	781	78	43	17	3.96	9.4961667338275e-08	RA x Soskic_CD4	locus_kb	500	own outcome
melanoma	641	64	41	7	1.71	0.10241284647765	RA x Soskic_CD4	known_kb	1000	unrelated control
HCC	641	41	41	8	3.05	0.00276618147944775	RA x Soskic_CD4	known_kb	1000	unrelated control
colorectal	641	159	41	18	1.77	0.00447350305414285	RA x Soskic_CD4	known_kb	1000	unrelated control
prostate	641	30	41	2	1.04	0.586122303458849	RA x Soskic_CD4	known_kb	1000	unrelated control
RA	641	64	41	16	3.91	2.33226619689043e-07	RA x Soskic_CD4	known_kb	1000	own outcome
melanoma	641	64	41	7	1.71	0.10241284647765	RA x Soskic_CD4	locus_kb	1000	unrelated control
HCC	641	41	41	8	3.05	0.00276618147944775	RA x Soskic_CD4	locus_kb	1000	unrelated control
colorectal	641	159	41	18	1.77	0.00447350305414285	RA x Soskic_CD4	locus_kb	1000	unrelated control
prostate	641	30	41	2	1.04	0.586122303458849	RA x Soskic_CD4	locus_kb	1000	unrelated control
RA	641	64	41	16	3.91	2.33226619689043e-07	RA x Soskic_CD4	locus_kb	1000	own outcome
melanoma	1678	71	109	11	2.39	0.0048815367861399	RA x eQTLGen_blood	known_kb	100	unrelated control
HCC	1678	36	109	9	3.85	0.000316432825349496	RA x eQTLGen_blood	known_kb	100	unrelated control
colorectal	1678	142	109	19	2.06	0.00132985873727666	RA x eQTLGen_blood	known_kb	100	unrelated control
prostate	1678	19	109	2	1.62	0.352816861851521	RA x eQTLGen_blood	known_kb	100	unrelated control
RA	1678	62	109	27	6.7	1.57881621094681e-17	RA x eQTLGen_blood	known_kb	100	own outcome
melanoma	6123	573	157	29	1.97	0.000248390183818532	RA x eQTLGen_blood	locus_kb	100	unrelated control
HCC	6123	312	157	26	3.25	6.86228628275012e-08	RA x eQTLGen_blood	locus_kb	100	unrelated control
colorectal	6123	1274	157	65	1.99	2.42602960997034e-09	RA x eQTLGen_blood	locus_kb	100	unrelated control
prostate	6123	196	157	5	0.99	0.56920437394167	RA x eQTLGen_blood	locus_kb	100	unrelated control
RA	6123	544	157	60	4.3	1.87838940484264e-24	RA x eQTLGen_blood	locus_kb	100	own outcome
melanoma	1678	99	109	13	2.02	0.00956440733904772	RA x eQTLGen_blood	known_kb	250	unrelated control
HCC	1678	43	109	10	3.58	0.000275921842784182	RA x eQTLGen_blood	known_kb	250	unrelated control
colorectal	1678	197	109	25	1.95	0.000468017222671641	RA x eQTLGen_blood	known_kb	250	unrelated control
prostate	1678	32	109	4	1.92	0.149578866472727	RA x eQTLGen_blood	known_kb	250	unrelated control
RA	1678	85	109	32	5.8	1.76960726606518e-18	RA x eQTLGen_blood	known_kb	250	own outcome
melanoma	3976	370	142	24	1.82	0.00255408266337031	RA x eQTLGen_blood	locus_kb	250	unrelated control
HCC	3976	194	142	20	2.89	1.29745719121852e-05	RA x eQTLGen_blood	locus_kb	250	unrelated control
colorectal	3976	807	142	56	1.94	7.67071681717976e-08	RA x eQTLGen_blood	locus_kb	250	unrelated control
prostate	3976	136	142	7	1.44	0.211284199055749	RA x eQTLGen_blood	locus_kb	250	unrelated control
RA	3976	348	142	55	4.43	1.30617714132493e-23	RA x eQTLGen_blood	locus_kb	250	own outcome
melanoma	1678	128	109	16	1.92	0.00663714577996953	RA x eQTLGen_blood	known_kb	500	unrelated control
HCC	1678	58	109	12	3.19	0.000217934937707304	RA x eQTLGen_blood	known_kb	500	unrelated control
colorectal	1678	269	109	31	1.77	0.000497553068254328	RA x eQTLGen_blood	known_kb	500	unrelated control
prostate	1678	42	109	4	1.47	0.289011876246962	RA x eQTLGen_blood	known_kb	500	unrelated control
RA	1678	110	109	36	5.04	1.7388900224933e-18	RA x eQTLGen_blood	known_kb	500	own outcome
melanoma	2643	253	123	22	1.87	0.00241559024320088	RA x eQTLGen_blood	locus_kb	500	unrelated control
HCC	2643	136	123	18	2.84	3.60568472481895e-05	RA x eQTLGen_blood	locus_kb	500	unrelated control
colorectal	2643	569	123	46	1.74	2.81168053610369e-05	RA x eQTLGen_blood	locus_kb	500	unrelated control
prostate	2643	92	123	7	1.63	0.133402620690164	RA x eQTLGen_blood	locus_kb	500	unrelated control
RA	2643	239	123	48	4.32	1.03272935435198e-20	RA x eQTLGen_blood	locus_kb	500	own outcome
melanoma	1678	180	109	24	2.05	0.000289447282199804	RA x eQTLGen_blood	known_kb	1000	unrelated control
HCC	1678	93	109	18	2.98	1.32097612678212e-05	RA x eQTLGen_blood	known_kb	1000	unrelated control
colorectal	1678	394	109	41	1.6	0.00043249833374288	RA x eQTLGen_blood	known_kb	1000	unrelated control
prostate	1678	66	109	6	1.4	0.254416915680706	RA x eQTLGen_blood	known_kb	1000	unrelated control
RA	1678	164	109	42	3.94	3.25522920094405e-17	RA x eQTLGen_blood	known_kb	1000	own outcome
melanoma	1678	180	109	24	2.05	0.000289447282199804	RA x eQTLGen_blood	locus_kb	1000	unrelated control
HCC	1678	93	109	18	2.98	1.32097612678212e-05	RA x eQTLGen_blood	locus_kb	1000	unrelated control
colorectal	1678	394	109	41	1.6	0.00043249833374288	RA x eQTLGen_blood	locus_kb	1000	unrelated control
prostate	1678	66	109	6	1.4	0.254416915680706	RA x eQTLGen_blood	locus_kb	1000	unrelated control
RA	1678	164	109	42	3.94	3.25522920094405e-17	RA x eQTLGen_blood	locus_kb	1000	own outcome
melanoma	666	16	2	0	0	1	HCC_low x Soskic_CD4	known_kb	100	unrelated control
HCC	666	8	2	1	41.62	0.0238975817923185	HCC_low x Soskic_CD4	known_kb	100	own outcome
colorectal	666	36	2	1	9.25	0.105263157894737	HCC_low x Soskic_CD4	known_kb	100	unrelated control
prostate	666	4	2	0	0	1	HCC_low x Soskic_CD4	known_kb	100	unrelated control
RA	666	16	2	0	0	1	HCC_low x Soskic_CD4	known_kb	100	unrelated control
melanoma	1146	106	2	0	0	1	HCC_low x Soskic_CD4	locus_kb	100	unrelated control
HCC	1146	85	2	2	13.48	0.00544136811541187	HCC_low x Soskic_CD4	locus_kb	100	own outcome
colorectal	1146	266	2	1	2.15	0.41050321223622	HCC_low x Soskic_CD4	locus_kb	100	unrelated control
prostate	1146	48	2	0	0	1	HCC_low x Soskic_CD4	locus_kb	100	unrelated control
RA	1146	119	2	0	0	1	HCC_low x Soskic_CD4	locus_kb	100	unrelated control
melanoma	666	31	2	0	0	1	HCC_low x Soskic_CD4	known_kb	250	unrelated control
HCC	666	17	2	2	39.18	0.000614147982569035	HCC_low x Soskic_CD4	known_kb	250	own outcome
colorectal	666	66	2	1	5.05	0.188511820090768	HCC_low x Soskic_CD4	known_kb	250	unrelated control
prostate	666	13	2	0	0	1	HCC_low x Soskic_CD4	known_kb	250	unrelated control
RA	666	37	2	0	0	1	HCC_low x Soskic_CD4	known_kb	250	unrelated control
melanoma	962	94	2	0	0	1	HCC_low x Soskic_CD4	locus_kb	250	unrelated control
HCC	962	63	2	2	15.27	0.00422506874119777	HCC_low x Soskic_CD4	locus_kb	250	own outcome
colorectal	962	221	2	1	2.18	0.406867845993757	HCC_low x Soskic_CD4	locus_kb	250	unrelated control
prostate	962	41	2	0	0	1	HCC_low x Soskic_CD4	locus_kb	250	unrelated control
RA	962	93	2	0	0	1	HCC_low x Soskic_CD4	locus_kb	250	unrelated control
melanoma	666	47	2	0	0	1	HCC_low x Soskic_CD4	known_kb	500	unrelated control
HCC	666	22	2	2	30.27	0.00104314841156947	HCC_low x Soskic_CD4	known_kb	500	own outcome
colorectal	666	102	2	1	3.26	0.283045451466504	HCC_low x Soskic_CD4	known_kb	500	unrelated control
prostate	666	20	2	0	0	1	HCC_low x Soskic_CD4	known_kb	500	unrelated control
RA	666	46	2	0	0	1	HCC_low x Soskic_CD4	known_kb	500	unrelated control
melanoma	815	78	2	0	0	1	HCC_low x Soskic_CD4	locus_kb	500	unrelated control
HCC	815	51	2	2	15.98	0.00384377684991182	HCC_low x Soskic_CD4	locus_kb	500	own outcome
colorectal	815	183	2	1	2.23	0.398875506850967	HCC_low x Soskic_CD4	locus_kb	500	unrelated control
prostate	815	34	2	0	0	1	HCC_low x Soskic_CD4	locus_kb	500	unrelated control
