partner	interaction_name	Glyco_prob_hi	Glyco_prob_lo	Glyco_delta	TPI1_prob_hi	TPI1_prob_lo	TPI1_delta	concordant	max_abs_effect
Tprolif	CCL24_CCR3	0	0	0	0	0	0	TRUE	0
Tprolif	CCL25_ACKR4	0	0	0	0	0	0	TRUE	0
Tprolif	CCL25_CCR9	0	0	0	0	0	0	TRUE	0
Tprolif	CCL26_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL26_CCR3	0	0	0	0	0	0	TRUE	0
Tprolif	CCL27_CCR10	0	0	0	0	0	0	TRUE	0
Tprolif	CCL27_CCR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL27_CCR3	0	0	0	0	0	0	TRUE	0
Tprolif	CCL28_CCR10	0	0	0	0	0	0	TRUE	0
Tprolif	CCL28_CCR3	0	0	0	0	0	0	TRUE	0
Tprolif	CCL2_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL2_CCR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL3L1_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL3L1_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL3L3_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL3_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL3_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL3_CCR5	0.0110561421625375	0.0197756144719207	-0.00871947230938318	0.0105177326715049	0.0183023237381036	-0.00778459106659865	TRUE	0.00871947230938318
Tprolif	CCL4_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL4_CCR5	0.0337305967397691	0.0592608045342155	-0.0255302077944463	0.0321238594033332	0.055010940545144	-0.0228870811418109	TRUE	0.0255302077944463
Tprolif	CCL5_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL5_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL5_CCR3	0	0	0	0	0	0	TRUE	0
Tprolif	CCL5_CCR4	0	0	0	0	0	0	TRUE	0
Tprolif	CCL5_CCR5	0.0516477957559674	0.0894834059502497	-0.0378356101942823	0.0492310673283237	0.0832579615248497	-0.034026894196526	TRUE	0.0378356101942823
Tprolif	CCL7_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL7_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL7_CCR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL7_CCR3	0	0	0	0	0	0	TRUE	0
Tprolif	CCL8_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL8_ACKR4	0	0	0	0	0	0	TRUE	0
Tprolif	CCL8_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL8_CCR2	0	0	0	0	0	0	TRUE	0
pDC	CCL11_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL11_CCR3	0	0	0	0	0	0	TRUE	0
pDC	CCL13_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL13_ACKR4	0	0	0	0	0	0	TRUE	0
pDC	CCL13_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL14_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL14_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL15_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL16_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL17_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL17_CCR4	0	0	0	0	0	0	TRUE	0
pDC	CCL19_ACKR4	0	0	0	0	0	0	TRUE	0
pDC	CCL19_CCR7	0	0	0	0	0	0	TRUE	0
pDC	CCL1_ACKR4	0	0	0	0	0	0	TRUE	0
pDC	CCL1_CCR8	0	0	0	0	0	0	TRUE	0
