sample	response	grp	n_cells	mean_expr	median_expr	detection	gene	analysis
Post_P28_2	Non-responder	hi	27	5.33592592592593	8.18	0.62962962962963	CCR5	TPI1
Post_P28_2	Non-responder	lo	27	3.44925925925926	0	0.444444444444444	CCR5	TPI1
Post_P30	Non-responder	hi	26	0.897692307692308	0	0.115384615384615	CCR5	TPI1
Post_P30	Non-responder	lo	26	3.07961538461538	0	0.384615384615385	CCR5	TPI1
Post_P1	Responder	hi	16	0	0	0	CCR1	TPI1
Post_P1	Responder	lo	16	0	0	0	CCR1	TPI1
Post_P1_2	Non-responder	hi	23	0.0278260869565217	0	0.0434782608695652	CCR1	TPI1
Post_P1_2	Non-responder	lo	23	0.353478260869565	0	0.0434782608695652	CCR1	TPI1
Post_P2	Non-responder	hi	28	0.605357142857143	0	0.107142857142857	CCR1	TPI1
Post_P2	Non-responder	lo	28	0.939642857142857	0	0.142857142857143	CCR1	TPI1
Post_P3	Non-responder	hi	22	0.0995454545454546	0	0.0454545454545455	CCR1	TPI1
Post_P3	Non-responder	lo	22	0	0	0	CCR1	TPI1
Post_P3_2	Non-responder	hi	16	0	0	0	CCR1	TPI1
Post_P3_2	Non-responder	lo	16	0	0	0	CCR1	TPI1
Post_P4	Responder	hi	35	0	0	0	CCR1	TPI1
Post_P4	Responder	lo	35	0	0	0	CCR1	TPI1
Post_P5	Non-responder	hi	20	0.3885	0	0.05	CCR1	TPI1
Post_P5	Non-responder	lo	20	0.266	0	0.05	CCR1	TPI1
Post_P5_2	Responder	hi	37	0	0	0	CCR1	TPI1
Post_P5_2	Responder	lo	37	0	0	0	CCR1	TPI1
Post_P6	Non-responder	hi	9	0.935555555555556	0	0.111111111111111	CCR1	TPI1
Post_P6	Non-responder	lo	9	1.30111111111111	0	0.222222222222222	CCR1	TPI1
Post_P7	Responder	hi	10	0.639	0	0.1	CCR1	TPI1
Post_P7	Responder	lo	10	0.361	0	0.1	CCR1	TPI1
Post_P8	Responder	hi	17	0	0	0	CCR1	TPI1
Post_P8	Responder	lo	17	0.318235294117647	0	0.0588235294117647	CCR1	TPI1
Post_P10	Non-responder	hi	27	0.85	0	0.111111111111111	CCR1	TPI1
Post_P10	Non-responder	lo	27	1.29555555555556	0	0.185185185185185	CCR1	TPI1
Post_P11	Non-responder	hi	14	1.91928571428571	0	0.214285714285714	CCR1	TPI1
Post_P11	Non-responder	lo	14	0.644285714285714	0	0.0714285714285714	CCR1	TPI1
Post_P12	Non-responder	hi	28	1.82607142857143	0	0.214285714285714	CCR1	TPI1
Post_P12	Non-responder	lo	28	1.60892857142857	0	0.214285714285714	CCR1	TPI1
Post_P13	Non-responder	hi	19	0	0	0	CCR1	TPI1
Post_P13	Non-responder	lo	19	0	0	0	CCR1	TPI1
Post_P14	Non-responder	hi	20	0.535	0	0.2	CCR1	TPI1
Post_P14	Non-responder	lo	20	0.379	0	0.05	CCR1	TPI1
Post_P15	Non-responder	hi	17	0.0358823529411765	0	0.0588235294117647	CCR1	TPI1
Post_P15	Non-responder	lo	17	0	0	0	CCR1	TPI1
Post_P16	Non-responder	hi	28	0.302142857142857	0	0.0357142857142857	CCR1	TPI1
Post_P16	Non-responder	lo	28	0	0	0	CCR1	TPI1
Post_P17	Responder	hi	29	0	0	0	CCR1	TPI1
Post_P17	Responder	lo	29	0	0	0	CCR1	TPI1
Post_P18	Non-responder	hi	22	0	0	0	CCR1	TPI1
Post_P18	Non-responder	lo	22	0	0	0	CCR1	TPI1
Post_P19	Responder	hi	22	0	0	0	CCR1	TPI1
Post_P19	Responder	lo	22	0.0477272727272727	0	0.0454545454545455	CCR1	TPI1
Post_P20	Non-responder	hi	17	0.789411764705882	0	0.117647058823529	CCR1	TPI1
Post_P20	Non-responder	lo	17	0.401764705882353	0	0.0588235294117647	CCR1	TPI1
Post_P21	Responder	hi	20	0	0	0	CCR1	TPI1
