direction	partner	pathway	n_LR	raw_sum_hi	raw_sum_lo	raw_delta_sum	raw_mean_hi	raw_mean_lo	raw_delta_mean	n_sig_hi	n_sig_lo	threshold_sum_hi	threshold_sum_lo	threshold_delta	threshold_effect	raw_relative_pct	netP_hi	netP_lo	netP_delta	error_hi	error_lo
Incoming_partner_to_CD4	B	GH	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	GHRELIN	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	GHRH	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	GIPR	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	GITRL	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	GNRH	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	GP1BA	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	GPR	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	GRN	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	GRP	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	GUCA	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	HCRT	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	HGF	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	HH	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	HSPG	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IAPP	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	ICAM	8	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	ICOS	3	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	IFN-I	17	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IFN-II	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	IGF	8	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IGFBP	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IL1	10	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IL10	8	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IL12	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IL16	1	0.0456555904706983	0	0.0456555904706983	0.0456555904706983	0	0.0456555904706983	1	0	0.0456555904706983	0	0.0456555904706983	0	200	0.0456555904706983	0	0.0456555904706983	0	0
Incoming_partner_to_CD4	B	IL17	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IL2	8	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IL4	10	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	IL6	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	INSULIN	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	JAM	10	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	KIT	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	KLK	12	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	L1CAM	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	LAIR1	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	LAMININ	139	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	LCK	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	LEP	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	LIFR	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	LIGHT	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	LT	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	MADCAM	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	MELANOCORTIN	5	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	MHC-I	41	1.29451041536503	2.35242441274894	-1.05791399738391	0.0315734247650007	0.0573762051889986	-0.0258027804239979	0	9	0	2.00758844628149	-2.00758844628149	-0.949674448897573	-58.0166110580604	0	2.00758844628149	-2.00758844628149	0	0
Incoming_partner_to_CD4	B	MHC-II	12	1.05883843002559	0	1.05883843002559	0.0882365358354661	0	0.0882365358354661	12	0	1.05883843002559	0	1.05883843002559	0	200	1.05883843002559	0	1.05883843002559	0	0
Incoming_partner_to_CD4	B	MIF	4	0.219368618304583	0.217494119255353	0.00187449904923052	0.0548421545761458	0.0543735298138381	0.000468624762307631	0	0	0	0	0	-0.00187449904923052	0.858163852426691	0	0	0	0	0
Incoming_partner_to_CD4	B	MK	9	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	MMP	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	MPZ	3	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	MSTN	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	NCAM	5	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	NEGR	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	NGF	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	NGL	3	0	0	0	0	0	0	0	0	0	0	0	0						
