cell	glyco_grp	tpi1_grp
G3_P3_M71_L001	hi	lo
G3_P3_MMD1-84B_L001	hi	hi
G3_P5_M89_L001	hi	hi
G3_P6_M36_L001	lo	hi
G3_P6_M68_L001	hi	hi
G3_P8_MMD2-36B_L001	hi	lo
G4_P1_M15	lo	hi
G5_P10_MMD2-36B_L001	lo	lo
G5_P1_M43_L001	lo	lo
G5_P1_M68_L001	lo	lo
G5_P2_M67_L001	hi	hi
G5_P2_M79_L001	hi	hi
G5_P3_M44_L001	hi	lo
G5_P3_MMD1-84B_L001	hi	hi
G5_P4_M74_L001	lo	lo
G5_P4_M89_L001	lo	hi
G6_P1_M47	lo	hi
G6_P1_MMD8_L001	lo	lo
G6_P2_M55_L001	lo	lo
G6_P2_M71_L001	lo	hi
G6_P3_M23	lo	lo
G6_P3_M89_L001	lo	lo
G6_P3_MMD9_L001	hi	hi
G6_P4_M23	lo	lo
G6_P5_M89_L001	lo	lo
G6_P9_MMD2-36B_L001	hi	hi
G7_P10_MMD2-36B_L001	hi	lo
G7_P2_M55_L001	hi	hi
G7_P2_M90-7-31-17	lo	lo
G7_P3_M13_L001	hi	hi
G7_P4_MMD1-84B_L001	hi	lo
G7_P5_M45_L001	lo	hi
G7_P6_M51_L001	hi	hi
G7_P7_M47_T_enriched	lo	lo
G8_P1_M51_L001	lo	hi
G8_P2_M15	hi	lo
G8_P3_M13_L001	hi	hi
G8_P3_M39	lo	lo
G8_P3_M89_L001	lo	lo
G8_P4_M44_L001	hi	lo
G9_P1_M55_L001	hi	hi
G9_P1_MMD9_L001	hi	lo
G9_P2_MMD1-84B_L001	hi	lo
H10_P1_MMD9_L001	hi	lo
H10_P5_M13_L001	hi	hi
H10_P5_M45_L001	lo	hi
H11_P2_M23	hi	lo
H11_P3_M15	lo	lo
H11_P3_M47	lo	lo
H11_P3_M79_L001	hi	lo
H11_P4_M45_L001	hi	hi
H11_P4_M79_L001	lo	lo
H11_P5_M83_L001	hi	lo
H11_P8_M47_T_enriched	hi	hi
H12_P1_MMD6_L001	lo	hi
H12_P1_MMD8_L001	hi	hi
H12_P2_M83_L001	lo	lo
H12_P2_MMD1-84A_L001	lo	hi
H12_P3_MMD9_L001	lo	lo
H12_P5_M47_L001	lo	hi
H12_P6_M14	hi	hi
H1_P1_MMD1-84B_L001	hi	hi
H1_P2_MMD8_L001	hi	hi
H1_P3_M47	hi	lo
H1_P5_M45_L001	hi	hi
H1_P6_M83_L001	lo	lo
H1_P7_M47_T_enriched	hi	hi
H1_P8_MMD2-36B_L001	hi	lo
H2_P2_M15	hi	lo
H2_P2_M39	hi	hi
H2_P2_MMD9_L001	hi	hi
H2_P3_M44_L001	lo	hi
H2_P3_MMD1-84A_L001	hi	lo
H2_P5_MMD8_L001	lo	lo
H2_P6_M83_L001	hi	hi
H3_P1_MMD8_L001	hi	lo
H3_P2_M47	hi	lo
H3_P2_M71_L001	lo	hi
H3_P3_M71_L001	lo	lo
H3_P3_M74_L001	lo	lo
H3_P4_MMD7_L001	hi	lo
H4_P1_M45_L001	lo	lo
H4_P1_M90-7-31-17	lo	lo
H4_P1_MMD1-84B_L001	hi	lo
H4_P4_M43_L001	lo	hi
H4_P4_M79_L001	hi	hi
H4_P8_MMD2-36B_L001	lo	lo
H5_P1_M43_L001	lo	lo
H5_P2_M90-7-24-17	hi	hi
H5_P2_MMD7_L001	hi	hi
H5_P3_M68_L001	lo	hi
H5_P3_MMD1-84A_L001	lo	lo
