direction	partner	interaction_name	pathway	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob
Outgoing_CD4_to_partner	B	WNT2_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD2_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT2B_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD2_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD2_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT3A_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD2_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT4_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD2_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT6_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD2_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7A_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD2_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT7B_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8A_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8A_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8A_FZD2_LRP5	WNT	0	0	1	1	0
