list_name	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	cell	swept	kb	relation
prostate	655	183	8	3	1.34	0.395626906312865	melanoma x Soskic_CD4	known_kb	500	unrelated control
breast	655	130	8	5	3.15	0.00961708048415661	melanoma x Soskic_CD4	known_kb	500	unrelated control
lung	655	49	8	0	0	1	melanoma x Soskic_CD4	known_kb	500	unrelated control
RA	655	46	8	0	0	1	melanoma x Soskic_CD4	known_kb	500	unrelated control
melanoma	800	76	7	3	4.51	0.0218108150842911	melanoma x Soskic_CD4	locus_kb	500	own outcome
HCC	800	51	7	0	0	1	melanoma x Soskic_CD4	locus_kb	500	unrelated control
colorectal	800	233	7	1	0.49	0.911133937925239	melanoma x Soskic_CD4	locus_kb	500	unrelated control
prostate	800	313	7	3	1.1	0.561392979219135	melanoma x Soskic_CD4	locus_kb	500	unrelated control
breast	800	217	7	4	2.11	0.0909151805115052	melanoma x Soskic_CD4	locus_kb	500	unrelated control
lung	800	82	7	0	0	1	melanoma x Soskic_CD4	locus_kb	500	unrelated control
RA	800	81	7	0	0	1	melanoma x Soskic_CD4	locus_kb	500	unrelated control
melanoma	655	66	8	4	4.96	0.00484067292102242	melanoma x Soskic_CD4	known_kb	1000	own outcome
HCC	655	43	8	0	0	1	melanoma x Soskic_CD4	known_kb	1000	unrelated control
colorectal	655	208	8	1	0.39	0.953888552952008	melanoma x Soskic_CD4	known_kb	1000	unrelated control
prostate	655	264	8	4	1.24	0.412692819380494	melanoma x Soskic_CD4	known_kb	1000	unrelated control
breast	655	190	8	5	2.15	0.0495210257219799	melanoma x Soskic_CD4	known_kb	1000	unrelated control
lung	655	68	8	0	0	1	melanoma x Soskic_CD4	known_kb	1000	unrelated control
RA	655	66	8	0	0	1	melanoma x Soskic_CD4	known_kb	1000	unrelated control
melanoma	655	66	8	4	4.96	0.00484067292102242	melanoma x Soskic_CD4	locus_kb	1000	own outcome
HCC	655	43	8	0	0	1	melanoma x Soskic_CD4	locus_kb	1000	unrelated control
colorectal	655	208	8	1	0.39	0.953888552952008	melanoma x Soskic_CD4	locus_kb	1000	unrelated control
prostate	655	264	8	4	1.24	0.412692819380494	melanoma x Soskic_CD4	locus_kb	1000	unrelated control
breast	655	190	8	5	2.15	0.0495210257219799	melanoma x Soskic_CD4	locus_kb	1000	unrelated control
lung	655	68	8	0	0	1	melanoma x Soskic_CD4	locus_kb	1000	unrelated control
RA	655	66	8	0	0	1	melanoma x Soskic_CD4	locus_kb	1000	unrelated control
melanoma	1678	71	34	19	13.21	7.36778395329799e-19	melanoma x eQTLGen_blood	known_kb	100	own outcome
HCC	1678	36	34	3	4.11	0.0344009002000198	melanoma x eQTLGen_blood	known_kb	100	unrelated control
colorectal	1678	184	34	9	2.41	0.00862913693759185	melanoma x eQTLGen_blood	known_kb	100	unrelated control
prostate	1678	300	34	21	3.45	1.04629034093156e-08	melanoma x eQTLGen_blood	known_kb	100	unrelated control
breast	1678	195	34	15	3.8	1.4157677413017e-06	melanoma x eQTLGen_blood	known_kb	100	unrelated control
lung	1678	66	34	6	4.49	0.00166186964066918	melanoma x eQTLGen_blood	known_kb	100	unrelated control
RA	1678	62	34	3	2.39	0.127914919517804	melanoma x eQTLGen_blood	known_kb	100	unrelated control
melanoma	6123	573	48	36	8.01	7.85292622895694e-28	melanoma x eQTLGen_blood	locus_kb	100	own outcome
