direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR	total_threshold_delta	threshold_distortion
Outgoing_CD4_to_partner	COLLAGEN	0	0	0	0	0
Outgoing_CD4_to_partner	COMPLEMENT	0	0	0	0	0
Outgoing_CD4_to_partner	CRH	0	0	0	0	0
Outgoing_CD4_to_partner	CSF	0	0	0	0	0
Outgoing_CD4_to_partner	CSF3	0	0	0	0	0
Outgoing_CD4_to_partner	CSPG4	0	0	0	0	0
Outgoing_CD4_to_partner	CTSG	0	0	0	0	0
Outgoing_CD4_to_partner	CX3C	0	0	0	0	0
Outgoing_CD4_to_partner	CXCL	-0.0269564568392559	-0.00385092240560799	-0.000175041927527636	-0.0269564568392559	0
Outgoing_CD4_to_partner	CypA	0.00593841140161666	0.000848344485945237	0.000848344485945237	0.00477445297609055	-0.00116395842552611
Outgoing_CD4_to_partner	DESMOSOME	0	0	0	0	0
Outgoing_CD4_to_partner	DMP1	0	0	0	0	0
Outgoing_CD4_to_partner	DSPP	0	0	0	0	0
Outgoing_CD4_to_partner	EDN	0	0	0	0	0
Outgoing_CD4_to_partner	EGF	0	0	0	0	0
Outgoing_CD4_to_partner	ENHO	0	0	0	0	0
Outgoing_CD4_to_partner	EPGN	0	0	0	0	0
Outgoing_CD4_to_partner	EPHA	0	0	0	0	0
Outgoing_CD4_to_partner	EPHB	0	0	0	0	0
Outgoing_CD4_to_partner	EPO	0	0	0	0	0
Outgoing_CD4_to_partner	ESAM	0	0	0	0	0
Outgoing_CD4_to_partner	FASLG	0	0	0	0	0
Outgoing_CD4_to_partner	FGF	0	0	0	0	0
Outgoing_CD4_to_partner	FLRT	0	0	0	0	0
Outgoing_CD4_to_partner	FLT3	0	0	0	0	0
Outgoing_CD4_to_partner	FN1	0	0	0	0	0
Outgoing_CD4_to_partner	FSH	0	0	0	0	0
Outgoing_CD4_to_partner	GALANIN	0	0	0	0	0
Outgoing_CD4_to_partner	GALECTIN	0	0	0	0	0
Outgoing_CD4_to_partner	GAP	0	0	0	0	0
