gene	profile	window	p12	nsnp	PP.H3	PP.H4	H3H4	ratio	pass
TPI1	CD4_Naive_stim_16h	±250 kb	5e-06	463	0.0660232875178815	0.326220703756123	0.392243991274005	0.83167801422926	FALSE
TPI1	CD4_Naive_stim_16h	±250 kb	1e-05	463	0.049783031836926	0.491955377912893	0.541738409749819	0.908105035675952	TRUE
TPI1	CD4_Naive_stim_16h	±250 kb	5e-05	463	0.0167742674690777	0.828815641340781	0.845589908809859	0.980162644688266	TRUE
TPI1	CD4_Naive_stim_16h	±500 kb	1e-06	467	0.0894185880424545	0.0882764823885882	0.177695070431043	0.496786332757865	FALSE
TPI1	CD4_Naive_stim_16h	±500 kb	5e-06	467	0.0660839525490105	0.326199451426771	0.392283403975782	0.831540279605888	FALSE
TPI1	CD4_Naive_stim_16h	±500 kb	1e-05	467	0.0498295731293774	0.491931211516992	0.54176078464637	0.908022923508753	TRUE
TPI1	CD4_Naive_stim_16h	±500 kb	5e-05	467	0.0167904963276492	0.82880192240323	0.845592418730879	0.980143511275977	TRUE
TPI1	CD4_Naive_stim_16h	full cis	1e-06	467	0.0894185880424545	0.0882764823885882	0.177695070431043	0.496786332757865	FALSE
TPI1	CD4_Naive_stim_16h	full cis	5e-06	467	0.0660839525490105	0.326199451426771	0.392283403975782	0.831540279605888	FALSE
TPI1	CD4_Naive_stim_16h	full cis	1e-05	467	0.0498295731293774	0.491931211516992	0.54176078464637	0.908022923508753	TRUE
