section	patient	gene	compartment	n_spots	rho	p
mel2_rep2	mel2	ZFYVE19	myeloid	375	0.05018594033530504	0.3324389543202712
mel2_rep2	mel2	ZFYVE19	stroma	375	0.12039703884850358	0.019690986662597193
mel2_rep2	mel2	ZFYVE19	glycolysis	375	0.027168547988245566	0.5999606696215285
mel2_rep2	mel2	ZFYVE19	prolif	375	0.010556943941432534	0.8385429878453368
mel2_rep2	mel2	SPSB2	tumor	375	0.04562612126069783	0.37828790515142735
mel2_rep2	mel2	SPSB2	lymphoid	375	0.0783177291020448	0.13005647123747568
mel2_rep2	mel2	SPSB2	bcell	375	0.02098597672673109	0.6854190113574962
mel2_rep2	mel2	SPSB2	myeloid	375	0.12343846768385766	0.016777472489862815
mel2_rep2	mel2	SPSB2	stroma	375	0.1368725091208683	0.00795017864525851
mel2_rep2	mel2	SPSB2	glycolysis	375	0.06087651052149019	0.23958530618241164
mel2_rep2	mel2	SPSB2	prolif	375	-0.007482649939780953	0.8851694805106959
mel2_rep2	mel2	HLA-C	tumor	375	-0.011480416505284068	0.8246389725538038
mel2_rep2	mel2	HLA-C	lymphoid	375	0.2298579984896948	6.902547974633643e-06
mel2_rep2	mel2	HLA-C	bcell	375	-0.003431557088056868	0.9471945807768911
mel2_rep2	mel2	HLA-C	myeloid	375	0.32244538973612574	1.6067000567076055e-10
mel2_rep2	mel2	HLA-C	stroma	375	0.20715664475624448	5.297241632954089e-05
mel2_rep2	mel2	HLA-C	glycolysis	375	0.06693103026989014	0.19592897235635523
mel2_rep2	mel2	HLA-C	prolif	375	0.042008533484272706	0.4172886855057669
mel2_rep2	mel2	KIAA0040	tumor	375	-0.08315590519135721	0.10789722026295194
mel2_rep2	mel2	KIAA0040	lymphoid	375	0.1400252122884976	0.006609252279008915
mel2_rep2	mel2	KIAA0040	bcell	375	0.1786481301354153	0.0005090289224682528
mel2_rep2	mel2	KIAA0040	myeloid	375	-0.012837868469940474	0.804301139644884
mel2_rep2	mel2	KIAA0040	stroma	375	0.026466309626160086	0.6094236252317728
mel2_rep2	mel2	KIAA0040	glycolysis	375	-0.06544428719972142	0.2060692169350186
mel2_rep2	mel2	KIAA0040	prolif	375	0.021768406818285096	0.6743496718759134
mel3_rep1	mel3	TPI1	tumor	255	-0.01575643118634144	0.8022862255907423
mel3_rep1	mel3	TPI1	lymphoid	255	-0.03089021022306973	0.6234471049080192
mel3_rep1	mel3	TPI1	bcell	255	-0.1732049159493378	0.005549721482676229
mel3_rep1	mel3	TPI1	myeloid	255	-0.08741145658639196	0.16402650376341268
mel3_rep1	mel3	TPI1	stroma	255	-0.22803258973346974	0.0002406655496350295
mel3_rep1	mel3	TPI1	glycolysis	255	0.27654809095272087	7.389740343685894e-06
mel3_rep1	mel3	TPI1	prolif	255	-0.004589856266289316	0.9418583094200894
mel3_rep1	mel3	SMC2	tumor	255	0.025837147604894094	0.681345574061577
mel3_rep1	mel3	SMC2	lymphoid	255	-0.025530990464971363	0.6849187026700977
mel3_rep1	mel3	SMC2	bcell	255	-0.07573573070509121	0.2281290145374743
