gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent
NDUFB10	0.14636866122583886	0.699341262406317	0.3623266227569528	0.5975031154574396	0.45138491546163706	4	True
LDHB	0.28597750814383066	0.6132697060349633	0.39768604870488233	0.5072744975978609	0.4510519401203843	4	True
S100A11	0.3727091054910008	0.49827252355650964	0.3938375909469617	0.5374285675744722	0.45056194689223605	4	True
PSMC4	0.3233414453780146	0.5303574818766149	0.3780337782014671	0.570425568004495	0.4505395683651479	4	True
MTFP1	0.3553584021538889	0.5751087535904489	0.41289857353272336	0.4583572923924705	0.45043075541738287	4	True
TOMM40	0.0631343704915319	0.6994978868682072	0.5628934542803617	0.4753011825856862	0.45020672355644675	4	True
HNRNPAB	0.1891370869373602	0.6409362129547457	0.42350161458442803	0.5432149089338676	0.4491974558526004	4	True
FAU	0.20736307300608636	0.5629666401759579	0.37369530637217896	0.6526582660719155	0.44917082140653464	4	True
CSNK2B	0.19880488918016062	0.5597838717317396	0.4316661283834481	0.6053155643206398	0.44889261340399705	4	True
NDUFAF3	0.19294445476806063	0.5528043484294002	0.39006765307609736	0.658480005273148	0.4485741153866766	4	True
GPN3	0.33097956461617384	0.6371002543954131	0.3998254476001601	0.4255065949056984	0.44835296537936137	4	True
VSIR	0.33659184366747036	0.6677185944427294	0.41836593049840903	0.36986975342365125	0.448136530508065	4	True
MYG1	0.2670714574854487	0.30413199634460214	0.5725859057272498	0.6482477431344036	0.44800927567292603	4	True
CFL1	0.20681602657481252	0.48091148210721213	0.4390851414506896	0.6645575323336218	0.447842545616584	4	True
TOMM22	0.21805266398151418	0.7037279588470082	0.33063763400721463	0.5379211327646247	0.4475848474000904	4	True
EEF1E1	0.22633413243342348	0.6134767414046463	0.36571255179524326	0.5847013968062369	0.44755620560988746	4	True
ZNRD2	0.169527326781994	0.5671781643860683	0.27605604607014295	0.7713580988313682	0.44602990901739337	4	True
PRELID3B	0.3997805043451268	0.551950865105529	0.49259279144340906	0.3395269247212443	0.4459627714038273	4	True
CENPV	0.2406680615682505	0.7045324581359743	0.3574349245608382	0.4795789012466978	0.4455535863779402	4	True
ACTB	0.24029952633427543	0.5425733838505485	0.44570007646208476	0.5476602377952395	0.4440583061105371	4	True
