cell	cell_group
B8_P1_M23	Tprolif
B8_P4_M23	CD4_Glyco_lo
B9_P1_M23	Tprolif
B9_P2_M23	CD8T
B9_P4_M23	CD8T
C10_P1_M23	CD8T
C10_P2_M23	CD8T
C10_P3_M23	NK
C10_P4_M23	CD8T
C11_P1_M23	CD8T
C11_P2_M23	CD8T
C11_P3_M23	MonoMacro
C12_P1_M23	CD8T
C12_P2_M23	NK
C12_P3_M23	MonoMacro
C12_P4_M23	CD8T
C1_P1_M23	CD8T
C1_P2_M23	CD8T
C1_P3_M23	CD4_Glyco_lo
C1_P4_M23	CD8T
C2_P1_M23	NK
C2_P2_M23	CD4_Glyco_lo
C2_P3_M23	MonoMacro
C2_P4_M23	CD8T
C3_P1_M23	CD8T
C4_P1_M23	MonoMacro
C4_P2_M23	MonoMacro
C4_P3_M23	CD8T
C4_P4_M23	NK
C5_P3_M23	CD8T
C5_P4_M23	Tprolif
C6_P2_M23	CD8T
C6_P3_M23	MonoMacro
C6_P4_M23	CD8T
C8_P1_M23	CD8T
C9_P1_M23	CD4_Glyco_lo
C9_P3_M23	CD8T
C9_P4_M23	MonoMacro
D10_P1_M23	Tprolif
D10_P2_M23	CD8T
D10_P4_M23	CD8T
D11_P1_M23	CD8T
D11_P2_M23	MonoMacro
D11_P4_M23	Tprolif
D12_P2_M23	CD4_Glyco_hi
D12_P3_M23	CD8T
D12_P4_M23	NK
D1_P1_M23	CD4_Glyco_hi
D1_P2_M23	CD8T
D1_P4_M23	NK
D2_P1_M23	CD8T
D2_P2_M23	CD4_Glyco_hi
D2_P3_M23	Tprolif
D2_P4_M23	CD8T
D3_P2_M23	CD8T
D3_P3_M23	CD8T
D3_P4_M23	NK
D4_P1_M23	CD4_Glyco_hi
D4_P4_M23	CD8T
D5_P2_M23	Tprolif
D6_P1_M23	CD8T
D6_P2_M23	CD8T
D6_P3_M23	CD8T
D6_P4_M23	Tprolif
D7_P3_M23	MonoMacro
D8_P1_M23	CD4_Glyco_hi
D8_P3_M23	CD8T
D9_P1_M23	CD4_Glyco_lo
D9_P4_M23	CD8T
E10_P1_M23	CD8T
E10_P3_M23	CD4_Glyco_lo
E10_P4_M23	CD8T
E11_P1_M23	CD4_Glyco_hi
E11_P2_M23	CD8T
E12_P1_M23	CD8T
E12_P2_M23	CD4_Glyco_lo
E1_P1_M23	MonoMacro
E1_P2_M23	CD8T
E1_P4_M23	Tprolif
E2_P1_M23	MonoMacro
E2_P2_M23	CD8T
E2_P4_M23	MonoMacro
E3_P1_M23	MonoMacro
E3_P2_M23	Tprolif
E3_P3_M23	CD8T
E3_P4_M23	CD8T
E4_P2_M23	CD8T
E4_P4_M23	NK
E5_P1_M23	CD8T
E5_P3_M23	CD8T
E5_P4_M23	CD8T
E6_P1_M23	CD8T
E6_P2_M23	CD8T
E6_P3_M23	CD8T
E7_P1_M23	CD8T
E7_P2_M23	Tprolif
E7_P3_M23	CD8T
E7_P4_M23	CD8T
E8_P2_M23	CD8T
E8_P4_M23	CD4_Glyco_lo
E9_P3_M23	CD8T
F10_P2_M23	CD4_Glyco_hi
F10_P3_M23	NK
F10_P4_M23	CD4_Glyco_hi
F11_P2_M23	CD4_Glyco_lo
F11_P3_M23	CD4_Glyco_lo
F11_P4_M23	Tprolif
F12_P1_M23	CD8T
F12_P3_M23	NK
F1_P1_M23	CD8T
F1_P4_M23	CD8T
F2_P1_M23	CD8T
F2_P3_M23	CD8T
F2_P4_M23	CD4_Glyco_lo
F3_P2_M23	CD8T
F3_P4_M23	Tprolif
F4_P1_M23	CD8T
F4_P2_M23	CD8T
F4_P4_M23	CD8T
F5_P1_M23	CD8T
F5_P3_M23	CD8T
F5_P4_M23	CD8T
F6_P2_M23	CD8T
F6_P4_M23	Tprolif
F7_P1_M23	pDC
F7_P2_M23	NK
F7_P4_M23	Tprolif
F8_P1_M23	Tprolif
F8_P2_M23	NK
F8_P3_M23	CD8T
F8_P4_M23	NK
F9_P1_M23	CD4_Glyco_hi
F9_P4_M23	NK
G10_P2_M23	CD8T
G10_P3_M23	CD8T
G10_P4_M23	CD8T
G11_P2_M23	MonoMacro
G11_P4_M23	CD8T
G12_P2_M23	CD8T
G12_P3_M23	MonoMacro
G12_P4_M23	CD8T
G1_P1_M23	MonoMacro
G1_P2_M23	CD4_Glyco_lo
G1_P3_M23	CD8T
G1_P4_M23	Tprolif
G2_P1_M23	NK
G2_P2_M23	CD4_Glyco_hi
G2_P3_M23	Tprolif
G2_P4_M23	NK
G3_P1_M23	NK
G3_P2_M23	CD8T
G3_P3_M23	NK
G3_P4_M23	CD4_Glyco_hi
G4_P1_M23	CD4_Glyco_lo
G4_P2_M23	CD8T
G4_P4_M23	Tprolif
G5_P1_M23	CD8T
G5_P2_M23	CD8T
G5_P3_M23	CD8T
G6_P2_M23	NK
G6_P3_M23	CD4_Glyco_lo
G6_P4_M23	CD4_Glyco_lo
G7_P2_M23	Tprolif
G7_P4_M23	CD8T
G8_P1_M23	Tprolif
G8_P2_M23	MonoMacro
G8_P3_M23	MonoMacro
G9_P1_M23	MonoMacro
G9_P2_M23	CD8T
H10_P1_M23	CD8T
H10_P2_M23	CD8T
H10_P4_M23	CD8T
H11_P2_M23	CD4_Glyco_hi
H12_P2_M23	MonoMacro
H12_P3_M23	CD8T
H12_P4_M23	CD8T
H1_P2_M23	CD8T
H1_P3_M23	CD8T
H1_P4_M23	Tprolif
H2_P1_M23	CD4_Glyco_hi
