gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent	detect
HSPA8	0.18682949395204665	0.573956855943209	0.565295675995461	0.6754301336015278	0.5003780398730611	4	True	0.6254239029904429
CD40LG	0.4916675901680072	0.6591078396340708	0.32079264953598124	0.5281441124096935	0.4999280479369382	4	True	0.18262737875997545
GRPEL1	0.33738394980274844	0.6594140816208552	0.4199599145286594	0.5815337341965322	0.4995729200371988	4	True	0.14787791593875244
CYCS	0.2689220263348894	0.6931708797239333	0.43459362215387726	0.6012490860894499	0.49948390357553746	4	True	0.3070599116226493
AURKAIP1	0.22430426365350684	0.6795640937395074	0.4018802033096146	0.6901550685919653	0.49897590732364855	4	True	0.13290235916379817
PPP1CA	0.2823178752012395	0.5804635382030375	0.4613259799808902	0.6717400447590637	0.49896185953605776	4	True	0.0841239190664092
PDCL3	0.35563563284167166	0.581232559803269	0.5114598251048539	0.5456749064491251	0.4985007310497299	4	True	0.0675845856771052
SRM	0.18886367208866817	0.7323294392755269	0.49010820716431147	0.5821945224055495	0.498373960233514	4	True	0.2610214777515158
EEF1E1	0.2397043832451618	0.7214430372082052	0.40755158709620937	0.6241440918828477	0.49821077485810605	4	True	0.07027117790277894
CFAP298	0.30614574981320486	0.5345658060400806	0.4844773424158334	0.6617131992637125	0.49672552438320783	4	True	0.07144656200151121
NDUFB7	0.17802676468613968	0.611058054516993	0.4939428963660789	0.7013484874341791	0.49609405075084767	4	True	0.11392830156997734
CSRNP1	0.3484660040587529	0.6295822415286955	0.5038155197065564	0.5017834950635678	0.49591181508939314	4	True	0.053479976492318025
YRDC	0.20179641586431485	0.7477314101261632	0.49189092532272566	0.5420139617779867	0.4958581782727976	4	True	0.09957866611859008
CHCHD2	0.1927410796275186	0.7164690011483577	0.4397125695395725	0.6313189055311437	0.4950603889616481	4	True	0.38022813688212925
RPS17	0.23014080573965623	0.6665166309810362	0.410138863424045	0.6723981113893143	0.4947986028835129	4	True	0.689240571369849
BCL2A1	0.2820665340917799	0.7687179068170854	0.507734745248083	0.41992372686980534	0.49461072825668845	4	True	0.21734662419073064
RPS5	0.22064810557791487	0.6629721443248642	0.4210888373957822	0.6730169332849373	0.49443150514587464	4	True	0.5557496660158258
CCT6A	0.24115832677032378	0.6451916016060457	0.475587069014499	0.6138855690409302	0.4939556416079497	4	True	0.4350015414654198
FOSL1	0.2591216524424581	0.7580525566743149	0.46668387402375155	0.4905317426341866	0.4935974564436778	4	True	0.12742780803617307
MRPL4	0.24421189567030344	0.7070169042874035	0.3704274557857324	0.6525654796882397	0.4935554338579198	4	True	0.12413934847394924
NDUFB10	0.16893727542750842	0.7437517887146641	0.4315402268644654	0.6293089727257968	0.4933845659331087	4	True	0.10217446058265468
ACTB	0.25847158258722974	0.6163003888785626	0.4897540167505967	0.6063596916949817	0.4927214199778427	4	True	0.7278799712259788
TAGLN2	0.28418821814042156	0.49823484243473304	0.5628804607023867	0.625088508798183	0.49259800751893107	4	True	0.1883972798253715
CCT2	0.203064111347222	0.6591026956602754	0.4794712742509737	0.6277672857482512	0.4923513417516806	4	True	0.4005754804233892
ARHGDIA	0.30926973507613703	0.6211325451481429	0.43641140809844337	0.6017131201321998	0.4921317021137308	4	True	0.14482411216522542
CCT5	0.2686307863668127	0.5950481599845295	0.4902115970111095	0.6146098888413186	0.49212510805094256	4	True	0.4272942143664577
POLR2F	0.23777668169179383	0.6432399657159107	0.4110229572113703	0.6759695724374521	0.4920022942641317	4	True	0.129544118881706
MLF2	0.21558808522418568	0.5668165746857338	0.5208803992835738	0.663037832387626	0.4915807228952798	4	True	0.07337755016371421
MTFP1	0.3869126345420463	0.6675440125521063	0.4626215682947534	0.44262823253661315	0.48992661198137977	4	True	0.07779262151885726
DKC1	0.2512398056831925	0.744437682492165	0.3973637311155051	0.5618672440547137	0.48872711583639405	4	True	0.28044394204090023
IFITM2	0.3016271082961472	0.7189592734157058	0.38095026696613726	0.5525062223400058	0.48851071775449906	4	True	0.09289898263282294
MRPS12	0.17805311416392386	0.712911228924652	0.4932031832958488	0.5696825613595343	0.4884625219359897	4	True	0.1011201315383825
RPL23	0.24387930857967133	0.7044096470476637	0.38354283318625126	0.6217296917959437	0.4883903701523825	4	True	0.725413626554311
