spot	x	y	total_counts	n_genes	log_total	tumor	lymphoid	bcell	myeloid	stroma	glycolysis	prolif	TPI1	SMC2	ZFYVE19	SPSB2	HLA-C	KIAA0040	section	patient
17x12	17.0	12.0	2636	1609	3.420945405921972	-0.3588095370186852	-0.015811971353285978	4.686770384066915	1.072379797655912	1.2111467450522448	-0.21854493566644662	-0.09648168400677855	2.150278942640017	0.0	0.0	0.0	2.150278942640017	0.0	mel4_rep1	mel4
17x13	17.0	13.0	2383	1457	3.377124042346456	-1.078753253235545	0.18681306149299526	-0.16663620878676436	0.33269030631521684	1.9151007098038673	-0.3296491020562496	-0.4377002747652098	2.239941544040882	0.0	0.0	0.0	0.0	0.0	mel4_rep1	mel4
18x3	18.0	3.0	6602	2874	3.8196755199942927	0.45240817004080897	-0.21294472058868794	-0.16663620878676436	0.31567879057046005	-0.5169556448454508	0.3960486451408307	-0.0648168762202654	1.3936137675001032	0.9221505366018427	0.0	0.0	2.31136197369448	0.0	mel4_rep1	mel4
18x4	18.0	4.0	4045	2125	3.606918525948291	0.16500832151057127	0.0890111135543319	-0.16663620878676436	-0.1260147051878112	0.04545618050523894	0.047209825735992327	-0.16669459384367236	2.592335482357711	0.0	0.0	0.0	2.7621044107726442	0.0	mel4_rep1	mel4
18x5	18.0	5.0	5007	2425	3.699577591398909	-0.0901961304361011	0.32953644707249446	-0.16663620878676436	0.8554662824076197	1.1805950503549065	-0.012350790832473247	-0.4377002747652098	2.7067445091665516	0.0	0.0	1.0976798255660447	3.043190081254259	0.0	mel4_rep1	mel4
18x6	18.0	6.0	2777	1564	3.4435758797502576	-0.38446179019366056	-0.020970418101523045	1.9113333459436295	0.22494609409659524	0.4422833077819961	-0.23302130436523402	0.020450320435087342	1.526275471284524	0.0	0.0	0.0	2.7346293666434294	0.0	mel4_rep1	mel4
18x7	18.0	7.0	3525	1911	3.5471591213274176	-0.42644042921050557	1.5876595951688397	-0.16663620878676436	1.2207225609862058	1.3941204330964114	-0.1540482985951748	-0.4377002747652098	3.1652655519785884	0.0	0.0	0.0	3.037745048175827	0.0	mel4_rep1	mel4
18x8	18.0	8.0	5101	2412	3.707655323531187	-0.6035030224770043	0.18734561435256167	-0.16663620878676436	0.6359458869337268	1.622720467677401	-0.10639907473328797	-0.20141120429447962	2.689397275319876	0.0	0.0	0.0	2.814402187450814	0.0	mel4_rep1	mel4
18x9	18.0	9.0	3564	1926	3.5519376953648374	-0.6384126715133449	-0.044835806832702975	-0.16663620878676436	0.55613525377954	1.1596206228078356	-0.26861383235412434	-0.14671926390713894	1.3365357146548293	0.0	0.0	0.0	2.881163762741827	0.0	mel4_rep1	mel4
18x10	18.0	10.0	3539	1995	3.548880562637515	-0.516081941751954	-0.21294472058868794	1.130430231112515	0.3294883287623889	1.4998846512905342	-0.8001169254591189	1.0159659509736785	1.8948144186828637	0.0	0.0	0.0	2.716566158930245	0.0	mel4_rep1	mel4
18x11	18.0	11.0	2707	1653	3.4324882557705063	-0.6543297351180766	0.08239421975035123	-0.16663620878676436	0.3019144818362064	0.0627680185828466	-0.3347363736695153	-0.4377002747652098	2.4917481116402005	0.0	0.0	1.5463120120902332	2.968907263418863	0.0	mel4_rep1	mel4
18x12	18.0	12.0	2192	1377	3.3408405498123317	-0.6238085417971619	0.1030530587266481	-0.16663620878676436	0.07619994402221879	1.236026947673397	-0.5343340285216588	0.3189899744473454	1.7159656298585213	0.0	0.0	0.0	2.686903605391505	0.0	mel4_rep1	mel4
18x13	18.0	13.0	1183	825	3.0729847446279304	-0.9904396575858616	1.4294484273056896	-0.16663620878676436	0.09324933740666594	1.5295678789747482	-0.3669631254696544	-0.4377002747652098	0.0	0.0	0.0	0.0	0.0	0.0	mel4_rep1	mel4
19x3	19.0	3.0	8717	3397	3.9403670459856652	0.45308022095490835	0.1695309891627419	-0.16663620878676436	-0.5983858188519381	-0.319737303915238	0.2187402149869808	0.5018572447019197	2.6114673675285722	0.0	0.76415705976732	0.76415705976732	2.7671607444713633	0.0	mel4_rep1	mel4
19x4	19.0	4.0	5932	2726	3.7732011423563443	-0.2785658060270707	-0.21294472058868794	-0.16663620878676436	0.3042251938121883	0.17967193661309355	0.17401263790410468	-0.4377002747652098	2.2437752429029185	0.9879682410437122	0.0	0.0	2.54947677865261	0.0	mel4_rep1	mel4
19x5	19.0	5.0	3128	1781	3.4952667443878105	-0.5015622989875886	0.23160614479926986	-0.16663620878676436	0.34673172148624254	1.0102627500541177	-0.11280604272163139	0.5070845492367678	1.4343535311047253	0.0	1.4343535311047253	0.0	2.623778615466303	0.0	mel4_rep1	mel4
19x6	19.0	6.0	4498	2311	3.6530194510996132	-0.33794180182596395	-0.06573507419600494	-0.16663620878676436	0.413075146835749	0.8073002824982057	-0.39702078327773355	-0.1828939664121701	1.6949586280283697	0.0	0.0	0.0	2.4945311502110075	0.0	mel4_rep1	mel4
19x7	19.0	7.0	4852	2446	3.685920792194535	0.5256087147287338	-0.21294472058868794	-0.16663620878676436	-0.14855815655529994	0.1664832218571587	0.07837123172200233	0.6855022941262408	1.6335472411196437	0.0	1.1187435452330299	0.0	2.425247658055804	0.0	mel4_rep1	mel4
19x8	19.0	8.0	2327	1354	3.36679638328673	-0.046386728385125905	-0.21294472058868794	-0.16663620878676436	-0.25337116735077064	-0.02297027845461952	-0.16985613937218225	-0.0747267640837318	0.0	0.0	0.0	0.0	2.9008452959789754	0.0	mel4_rep1	mel4
19x9	19.0	9.0	3794	2110	3.5790973265526436	0.17327136589380426	-0.05058681080512891	-0.16663620878676436	0.019888007761574795	-0.10460209321560761	-0.5218299450653939	0.038407789468372845	2.822238270528371	0.0	1.2908128434962771	0.0	2.446075950184728	0.0	mel4_rep1	mel4
19x10	19.0	10.0	2992	1715	3.4759615891924236	0.28126945387720026	0.2575723410108765	1.804686644082439	0.018208525510679134	-0.6072385379427252	-0.21802246691996724	0.1425201665362	3.1944077859897466	0.0	0.0	0.0	2.4003230477223187	0.0	mel4_rep1	mel4
19x11	19.0	11.0	2062	1292	3.3142886609474975	-0.4050155431460273	0.8242677261661902	-0.16663620878676436	-0.13727228805249253	0.7556786294434712	-0.30907829395906095	-0.05313584568177039	0.0	0.0	0.0	0.0	2.7439951426727136	0.0	mel4_rep1	mel4
19x12	19.0	12.0	1507	990	3.1781132523146316	-0.7650627951621773	-0.21294472058868794	-0.16663620878676436	-0.43200195198358254	0.19382091932812706	-0.5226165780014799	0.14103657361244334	0.0	0.0	0.0	0.0	2.6582575438944867	0.0	mel4_rep1	mel4
19x13	19.0	13.0	2204	1479	3.3432115901797474	-0.9104251199389417	0.0023257736679460996	-0.16663620878676436	0.5358923069808836	-0.4494893952463524	-0.29518043401153005	-0.4377002747652098	1.711489875563755	0.0	0.0	0.0	3.340145415068423	0.0	mel4_rep1	mel4
19x14	19.0	14.0	764	579	2.8830933585756897	-0.2852860749884252	-0.21294472058868794	-0.16663620878676436	-0.7278551973988466	-0.42614565316045555	-0.7613548765176311	-0.4377002747652098	0.0	0.0	0.0	0.0	3.302408207780599	0.0	mel4_rep1	mel4
20x4	20.0	4.0	5770	2774	3.7611758131557314	-0.061641742139155555	-0.21294472058868794	-0.16663620878676436	0.07728623370209331	0.418467985528882	-0.25661153532695735	-0.04049677750923923	2.0709567741455426	0.0	0.0	0.0	2.4334917267932514	0.0	mel4_rep1	mel4
20x5	20.0	5.0	6154	2687	3.7891574919114395	0.5003628658974693	-0.09155918805035394	-0.16663620878676436	0.0033852909314051765	0.014176478838308573	0.032100767687923235	-0.12269156913783726	2.210995639503324	0.0	0.0	0.0	2.8477885930641755	0.9650654201202545	mel4_rep1	mel4
20x6	20.0	6.0	4747	2302	3.67641923171836	-0.019048010477885364	-0.21294472058868794	-0.16663620878676436	-0.5702269670641775	-0.5208288604257546	0.2021776459677456	-0.4377002747652098	1.9905803977796386	0.0	0.0	0.0	2.993697341622965	0.0	mel4_rep1	mel4
20x7	20.0	7.0	5507	2682	3.7409150764812824	0.08008951261716396	-0.21294472058868794	-0.16663620878676436	0.26238818245723544	0.424509646632923	0.08239592832031889	-0.2123083518722491	1.8637098498615852	0.0	0.0	0.0	2.4761369968796534	0.0	mel4_rep1	mel4
20x8	20.0	8.0	3517	1944	3.5461723683169426	-0.031209791469130964	-0.21294472058868794	-0.16663620878676436	0.9543536653162521	0.3372972323913849	-0.06020317456674464	0.7762283635216203	2.254444419310097	0.0	0.0	0.0	2.254444419310097	0.0	mel4_rep1	mel4
20x9	20.0	9.0	5106	2540	3.7080808104682315	-0.10896659841996467	0.13461813588488145	-0.16663620878676436	0.30562494839355064	-0.11091373063133654	-0.015942687286800282	0.7807934642215624	1.927955737214862	1.084675697071964	0.0	0.0	0.0	0.0	mel4_rep1	mel4
20x10	20.0	10.0	3347	1818	3.5246557123577773	0.722969228319482	-0.21294472058868794	-0.16663620878676436	-0.5265440546250842	-0.7727229244841666	0.3813995802293857	0.5113175565782938	1.383227218262825	0.0	0.0	0.0	1.9424040739741109	0.0	mel4_rep1	mel4
20x11	20.0	11.0	1677	1104	3.2245330626060857	-0.21390707292776662	-0.21294472058868794	-0.16663620878676436	-0.7278551973988466	0.3591320118981567	-0.15673368258413548	-0.4377002747652098	2.5592453077717146	0.0	0.0	0.0	2.5592453077717146	0.0	mel4_rep1	mel4
20x12	20.0	12.0	2164	1350	3.3352572564345317	-0.30844157902479524	-0.21294472058868794	-0.16663620878676436	0.33632153265456527	-0.6529905689005043	-0.16455320209273722	-0.0618141459605885	1.726522408830883	0.0	0.0	0.0	0.0	0.0	mel4_rep1	mel4
20x13	20.0	13.0	2039	1262	3.30941722577814	0.18442213704368282	-0.21294472058868794	-0.16663620878676436	-0.7278551973988466	-0.6513329853512808	-0.5257800266665038	-0.4377002747652098	3.0261382672638724	0.0	0.0	0.0	2.380354119612236	0.0	mel4_rep1	mel4
20x14	20.0	14.0	1560	1064	3.1931245983544616	-0.9835685916058065	0.16959388385615895	-0.16663620878676436	-0.7278551973988466	0.4606626939206037	-0.3359454629153772	-0.4377002747652098	2.626153924779351	0.0	0.0	0.0	2.0028650419827856	0.0	mel4_rep1	mel4
21x4	21.0	4.0	2939	1637	3.4681995860726125	0.19146252403241631	0.4484170048664136	-0.16663620878676436	0.18337498980578276	0.2098173871210168	0.2504914347905893	0.009649386272685944	1.4821766188970353	0.0	0.0	0.0	3.0640966159258203	0.0	mel4_rep1	mel4
21x5	21.0	5.0	3887	2056	3.5896145406312665	0.4573070378524725	-0.052787619635244844	1.5669373760287735	-0.028250181522780044	0.7836980893780005	0.12192136400614127	0.0337338008755748	1.8156967260277366	0.0	0.0	0.0	2.9448992472130118	0.0	mel4_rep1	mel4
21x6	21.0	6.0	4244	2151	3.627775375229303	0.5691043521775676	0.08077433256928358	-0.16663620878676436	-0.5516343450889641	-0.3621576843694256	0.3498269273562928	-0.4377002747652098	2.717182113448914	0.0	0.0	0.0	2.717182113448914	0.0	mel4_rep1	mel4
21x7	21.0	7.0	3443	1908	3.5369370227046737	0.3507290590289056	-0.21294472058868794	-0.16663620878676436	-0.03136054175009979	-0.49190701446276114	-0.26616392920874116	-0.020077208588708473	2.7422724810208914	0.0	0.0	0.0	2.9137986806289238	0.0	mel4_rep1	mel4
21x8	21.0	8.0	2797	1562	3.4466924663715273	0.4191620897021046	-0.021676307881059256	-0.16663620878676436	0.12443104849617943	-0.9420431364229934	-0.004164835509105064	-0.4377002747652098	2.461789633572608	0.0	0.0	0.0	2.7279205924533234	0.0	mel4_rep1	mel4
21x9	21.0	9.0	2552	1444	3.4068806700491248	0.14227445113711662	-0.21294472058868794	-0.16663620878676436	-0.2744909734756427	-0.8203782015177694	0.5161542508836582	-0.4377002747652098	2.178946388329268	0.0	0.0	0.0	2.178946388329268	0.0	mel4_rep1	mel4
21x10	21.0	10.0	3627	1933	3.5595475555804343	-0.02299041987077105	-0.21294472058868794	-0.16663620878676436	-0.11734251360185198	-0.8812291011126461	0.03128176443111003	-0.1495252465448172	2.2269234554063027	0.0	0.0	0.0	2.693646812289232	0.0	mel4_rep1	mel4
21x11	21.0	11.0	1887	1265	3.2757719001649312	-0.39560563580053515	1.1760371047508564	-0.16663620878676436	0.07676112235106788	-0.0420916368406502	-0.08882899308485882	0.4101624093277284	0.0	0.0	0.0	0.0	1.8404570996120742	0.0	mel4_rep1	mel4
21x12	21.0	12.0	2022	1274	3.3057811512549824	0.062101115334463886	0.11533330878548144	-0.16663620878676436	-0.1779292383054702	-0.9891172796973824	-0.42084066156801997	-0.4377002747652098	0.0	0.0	0.0	1.7826511840186907	2.3879548330931195	0.0	mel4_rep1	mel4
21x13	21.0	13.0	1653	1121	3.2182728535714475	-0.28160993919775884	-0.21294472058868794	-0.16663620878676436	-0.353452919009814	-0.4503824089797332	-0.5410936698115015	0.8486898061622206	1.9529718387522392	0.0	0.0	0.0	2.5725521941392655	0.0	mel4_rep1	mel4
21x14	21.0	14.0	1708	1161	3.232487866352986	-0.1761371023183565	-0.21294472058868794	-0.16663620878676436	0.006679969835061694	-0.9678810205748988	-0.5084967700473153	-0.4377002747652098	2.5423577608347805	0.0	0.0	0.0	2.5423577608347805	0.0	mel4_rep1	mel4
22x4	22.0	4.0	7809	3326	3.892595422828898	0.2923512157169141	0.2163795660569523	-0.16663620878676436	0.12297626538301624	0.38213329232224863	0.1288806103572153	0.7679919215308202	2.161418014819023	0.0	0.0	0.0	2.940643985078436	0.0	mel4_rep1	mel4
22x5	22.0	5.0	4377	2257	3.641176546613114	0.26040955589907994	-0.21294472058868794	-0.16663620878676436	-0.2681666211128236	-0.022362903045888283	-0.07771732674527683	-0.4377002747652098	1.7172765065911815	0.0	0.0	0.0	2.0610241779036627	0.0	mel4_rep1	mel4
22x6	22.0	6.0	3428	1911	3.5350408132511606	-0.11303439212354675	1.0267086919354709	-0.16663620878676436	0.37684717902322523	0.022688025582368102	-0.3179056765842124	-0.14044274072274518	1.365365078382255	0.0	0.0	0.0	3.661585005773579	0.0	mel4_rep1	mel4
22x7	22.0	7.0	4076	2176	3.610234175334389	0.03812843065541645	0.010452330413434888	-0.16663620878676436	0.7146850699258236	1.1858020449704318	0.10779998248642998	-0.4377002747652098	2.7549537634787584	0.0	0.0	0.0	3.026605036337255	0.0	mel4_rep1	mel4
22x8	22.0	8.0	4087	2197	3.6114046377115936	-0.1037729333957389	-0.21294472058868794	-0.16663620878676436	0.5241469565141914	-0.5407563906225296	-0.10992037991116711	1.3431627114157958	1.7738610712885163	0.0	0.0	0.0	2.1211048753485087	0.0	mel4_rep1	mel4
22x9	22.0	9.0	4977	2501	3.696967640744023	-0.020874117424751537	0.04005775697576209	-0.16663620878676436	0.03084514754535415	-0.17653362827921618	-0.011400853270798393	0.04155625435473866	1.6131281015320418	0.0	0.0	0.0	1.6131281015320418	0.0	mel4_rep1	mel4
22x10	22.0	10.0	3615	1941	3.5581083016305497	0.4518842735385741	0.023117186650681198	-0.16663620878676436	1.0914904255253854	0.12040780335246604	-0.15998652515989026	-0.4377002747652098	0.0	0.0	0.0	0.0	2.8677574359839357	0.0	mel4_rep1	mel4
22x11	22.0	11.0	1545	1018	3.1889284837608534	-0.3330538874168473	-0.21294472058868794	-0.16663620878676436	0.4314264946502166	0.3591437744935398	-0.19439086609024636	-0.4377002747652098	3.016391187473064	0.0	0.0	2.01122853245675	0.0	0.0	mel4_rep1	mel4
22x12	22.0	12.0	2050	1313	3.311753861055754	0.005693150434484507	-0.21294472058868794	-0.16663620878676436	0.3336935316772024	-0.23095247897694293	-0.3247515391701007	-0.4377002747652098	1.7712248667863473	0.0	0.0	0.0	2.375472808742538	0.0	mel4_rep1	mel4
22x13	22.0	13.0	1535	1005	3.1861083798132053	-0.03349525706631505	1.2164350795492191	-0.16663620878676436	-0.0188658191881054	-0.22620703950894192	-0.4325854249126558	1.207465621833265	2.6411491374669134	0.0	0.0	0.0	2.0168555105865567	0.0	mel4_rep1	mel4
