direction	partner	pathway	interaction_name	ligand	receptor	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob	abs_delta	sig_hi	sig_lo	sig_either
Outgoing_CD4_to_partner	B	CCL	CCL25_CCR9	CCL25	CCR9	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL25_ACKR4	CCL25	ACKR4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL28_CCR10	CCL28	CCR10	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL27_CCR10	CCL27	CCR10	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL1_ACKR4	CCL1	ACKR4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL13_ACKR4	CCL13	ACKR4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL8_ACKR4	CCL8	ACKR4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL2_ACKR2	CCL2	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL3_ACKR2	CCL3	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL3L1_ACKR2	CCL3L1	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL4_ACKR2	CCL4	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL5_ACKR2	CCL5	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL7_ACKR2	CCL7	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL8_ACKR2	CCL8	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL11_ACKR2	CCL11	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL13_ACKR2	CCL13	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL22_ACKR2	CCL22	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL24_ACKR2	CCL24	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL26_ACKR2	CCL26	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL14_ACKR2	CCL14	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL17_ACKR2	CCL17	ACKR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
