direction	partner	pathway	n_LR	raw_sum_hi	raw_sum_lo	raw_delta_sum	raw_delta_mean	n_sig_hi	n_sig_lo
Outgoing_CD4_to_partner	B	SEMA6	7	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SEMA7	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SN	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	THY1	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	VCAM	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GAP	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PCDH	27	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	FLRT	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	UNC5	12	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ApoA	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ApoB	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ApoE	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD160	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD276	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	LAIR1	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	MMP	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	Netrin	8	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD200	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SIRP	1	0.0645416236935292	0.0617860833487226	0.00275554034480655	0.00275554034480655	1	1
Incoming_partner_to_CD4	B	TGFb	12	0	0	0	0	0	0
Incoming_partner_to_CD4	B	BMP	75	0	0	0	0	0	0
Incoming_partner_to_CD4	B	BMP10	4	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GDF	6	0	0	0	0	0	0
Incoming_partner_to_CD4	B	MSTN	4	0	0	0	0	0	0
Incoming_partner_to_CD4	B	AMH	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GDNF	5	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NODAL	12	0	0	0	0	0	0
Incoming_partner_to_CD4	B	ACTIVIN	20	0	0	0	0	0	0
Incoming_partner_to_CD4	B	WNT	320	0	0	0	0	0	0
Incoming_partner_to_CD4	B	ncWNT	31	0	0	0	0	0	0
Incoming_partner_to_CD4	B	EGF	18	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NRG	13	0	0	0	0	0	0
Incoming_partner_to_CD4	B	FGF	46	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PDGF	6	0	0	0	0	0	0
Incoming_partner_to_CD4	B	VEGF	8	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IGF	8	0	0	0	0	0	0
Incoming_partner_to_CD4	B	INSULIN	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	HH	6	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CCL	55	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CXCL	22	0	0	0	0	0	0
Incoming_partner_to_CD4	B	MIF	4	0.217463979043371	0.218892707625254	-0.00142872858188219	-0.000357182145470546	0	0
Incoming_partner_to_CD4	B	CX3C	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	XCR	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IL2	8	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IL4	10	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IL6	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IL12	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	LIFR	4	0	0	0	0	0	0
Incoming_partner_to_CD4	B	OSM	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IL10	8	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IL1	10	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IL17	6	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CSF	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IL16	1	0.0423129121359127	0.0301435443343004	0.0121693678016123	0.0121693678016123	1	1
Incoming_partner_to_CD4	B	EPO	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GH	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PRL	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CSF3	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IFN-I	17	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IFN-II	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	TNF	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	LT	4	0	0	0	0	0	0
Incoming_partner_to_CD4	B	LIGHT	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	FASLG	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	VEGI	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	TRAIL	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NGF	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	RANKL	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	TWEAK	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CD70	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CD30	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CD137	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	OX40	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GITRL	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	APRIL	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	BAFF	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CD40	4	0	0	0	0	0	0
Incoming_partner_to_CD4	B	SPP1	9	0	0	0	0	0	0
Incoming_partner_to_CD4	B	ADIPONECTIN	2	0	0	0	0	0	0
